Database Source	Sequence ID	Plasmid name	Strain of origin	Sequence length
NCBI	NC_016583.1	pPABN1	'Brassica napus' phytoplasma	3581
NCBI	NZ_CP010002.1	unnamed5	Bacillus thuringiensis serovar kurstaki strain HD 1	81433
NCBI	NZ_CP007713.1	pABLAC1	Acinetobacter baumannii LAC-4	8122
NCBI	NZ_CP008900.1	pENT-d4a	Enterobacter cloacae ECNIH3	61252
NCBI	NZ_CP022541.1	pSMS3-1	Antarctobacter heliothermus strain SMS3	377583
NCBI	NC_002129.1	pC221	Staphylococcus aureus	4624
NCBI	NZ_CP010326.1	pPSP-3a9	Pantoea sp. PSNIH1	334090
NCBI	NZ_CP018462.1	pKp_Goe_795-3	Klebsiella pneumoniae strain Kp_Goe_39795	33414
NCBI	NC_004339.1	pAsal2	Aeromonas salmonicida subsp. salmonicida pAsal2	5503
NCBI	NZ_CP015917.1	pSLy5	Escherichia coli strain 210205630	9102
NCBI	NC_016837.1	pSICJ18-1	Streptococcus infantarius subsp. infantarius CJ18	20114
NCBI	NC_014312.1	pKP048	Klebsiella pneumoniae	153349
NCBI	NZ_CP010417.1	pAcX50b	Azotobacter chroococcum NCIMB 8003	14051
NCBI	NC_025111.1	pD72-2	Acinetobacter baumannii strain D72	71105
NCBI	NZ_CP016574.1	pAMR588-04-00435_2	Salmonella enterica subsp. enterica serovar Heidelberg strain AMR588-04-00435	2280
NCBI	NZ_CP007257.1	pLRE138	Rhodococcus erythropolis R138	484744
NCBI	NC_019339.1	pJ349-116	Arthrobacter sp. J3-49	104596
NCBI	NC_022778.1	p12124569	Clostridium tetani 12124569,	59204
NCBI	NC_010464.1	pSM76	Stenotrophomonas maltophilia	2970
NCBI	NZ_CP018706.1	pKp_Goe_024-3	Klebsiella pneumoniae strain Kp_Goe_827024	64498
NCBI	NZ_CP016531.1	pSA01AB09084001_37	Salmonella enterica subsp. enterica serovar Heidelberg strain SA01AB09084001	38237
NCBI	NC_008566.1	lp34	Borrelia afzelii PKo	34764
NCBI	NC_019260.1	pMh1405	Mannheimia haemolytica	7785
NCBI	NC_017734.1	pHPB14	Helicobacter pylori HUP-B14	8424
NCBI	NC_015188.1	pACMV4	Acidiphilium multivorum AIU301	41169
NCBI	NC_009927.1	pREB2	Acaryochloris marina MBIC11017	361175
NCBI	NC_015419.1	p5BKT015925	Clostridium botulinum BKT015925	12582
NCBI	NZ_CP020859.1	unnamed1	Lactobacillus salivarius strain ZLS006	268182
NCBI	NC_006530.1	pSF118-44	Lactobacillus salivarius UCC118	44643
NCBI	NC_003526.1	pMLU1	Micrococcus luteus NCIMB 13267	2366
NCBI	NZ_CP013151.1	pMF1298-2	Lactobacillus plantarum strain MF1298	56496
NCBI	NC_012181.1	A14S_lp28-8	Borreliella spielmanii A14S	25184
NCBI	NC_002141.1	pPBS1	Leptolyngbya boryana	1534
NCBI	NC_010124.1	pGDIPal5I	Gluconacetobacter diazotrophicus PAl 5	39374
NCBI	NZ_CM007792.1	p_IncFIB	Escherichia coli O157:H7 strain LEN03-5497-2	39186
NCBI	NZ_CP013250.1	Unknown	Vibrio parahaemolyticus strain FORC_022	102997
NCBI	NC_019185.1	pA1209	Haemophilus influenzae	5217
NCBI	NZ_CM003523.1	pSA-CC169-2	Staphylococcus aureus strain CC169	8149
NCBI	NZ_LN774770.1	II	Lactococcus piscium MKFS47 genome assembly L_piscium,	56468
NCBI	NZ_CP013752.1	unnamed3	Lactobacillus plantarum strain KP	69502
NCBI	NZ_CP019234.1	pYGD83	Bacillus thuringiensis strain YGd22-03	85094
NCBI	NC_003101.1	pCRL1127	Lactococcus lactis CRL1127	8398
NCBI	NC_014317.1	pNWAT02	Nitrosococcus watsonii C-113	5693
NCBI	NZ_CP014816.1	lp28-1	Borrelia hermsii strain DAH-2E7	13388
NCBI	NC_018146.1	pZZ6.01	Zymomonas mobilis subsp. mobilis ATCC 29191	18614
NCBI	NZ_CP022172.1	pS121-3	Aeromonas salmonicida strain S121	63406
NCBI	NZ_CP016716.1	pUC063B	Lactococcus lactis subsp. lactis strain UC063	44838
NCBI	NZ_CP018017.1	pKrDSM16656L	Kosakonia radicincitans DSM 16656	294254
NCBI	NZ_CP021901.1	tig00001456_pilon	Enterobacter cloacae strain AR_0136	44000
NCBI	NZ_CP021786.1	pA85-2	Acinetobacter baumannii strain A85	8857
NCBI	NC_012204.1	VS116_lp36	Borreliella valaisiana VS116	24257
NCBI	NZ_CP016744.1	pJM2C	Lactococcus lactis subsp. cremoris strain JM2	63152
NCBI	NC_014132.1	LkipL4704	Leuconostoc kimchii IMSNU 11154	23609
NCBI	NZ_CP013718.1	pC2014-4	Staphylococcus equorum strain C2014	7419
NCBI	NZ_CP019438.1	unnamed1	Thioclava nitratireducens strain 25B10_4	216626
NCBI	NZ_LT009691.1	2	Staphylococcus aureus strain NZAK3 genome assembly,	26057
NCBI	NZ_CP019286.1	pHLAJ5I	Halobiforma lacisalsi AJ5	219286
NCBI	NC_025018.1	pAsal1B	Aeromonas salmonicida subsp. salmonicida culture-collection HER<CAN_:1104	9119
NCBI	NZ_CP011809.2	pPF72-2	Pandoraea faecigallinarum strain DSM 23572	105860
NCBI	NC_004943.1	pBLO1	Bifidobacterium longum NCC2705	3679
NCBI	NC_011842.1	PBr_cp32-10	Borrelia garinii PBr	35336
NCBI	NZ_CP021811.1	accessoryA	Sinorhizobium meliloti strain Rm41	250596
NCBI	NC_011870.1	156a_lp36	Borrelia burgdorferi 156a	23977
NCBI	NC_020290.1	pCC5.2_M	Synechocystis sp. PCC 6803	5290
NCBI	NZ_CP018018.1	pKrDSM16656S	Kosakonia radicincitans DSM 16656	14918
NCBI	NZ_CP018879.1	6	Bacillus megaterium strain JX285	37992
NCBI	NZ_CP020910.1	pRetNXC12d	Rhizobium etli strain NXC12	550855
NCBI	NZ_CP009296.1	pLA2	Novosphingobium pentaromativorans US6-1	63233
NCBI	NC_006675.1	pGOX4	Gluconobacter oxydans 621H	13413
NCBI	NZ_CP019317.1	pDOK1-4-5	Tateyamaria omphalii strain DOK1-4	54821
NCBI	NZ_CP012010.1	pDSM20484	Leuconostoc mesenteroides subsp. dextranicum strain DSM 20484	36611
NCBI	NC_008384.1	pRL11	Rhizobium leguminosarum bv. viciae	693978
NCBI	NZ_CP017368.1	pL1277-5	Lactobacillus plantarum strain TMW 1.277	26235
NCBI	NC_010941.1	ABB7_B	Actinobacillus pleuropneumoniae serovar 7 str. AP76	4298
NCBI	NC_011722.1	ZS7_cp32-9	Borrelia burgdorferi ZS7	30904
NCBI	NZ_CP010224.1	C	Escherichia coli strain M19	6127
NCBI	NC_025128.1	p48/10	Vibrio vulnificus 48/10	80392
NCBI	NZ_CP011434.1	pYU39_4.2	Salmonella enterica subsp. enterica strain YU39	4310
NCBI	NZ_CM003278.1	pRphCh2410a	Rhizobium phaseoli Ch24-10	372951
NCBI	NZ_CP015725.1	unnamed1	Salmonella enterica strain C629	213109
NCBI	NC_006297.1	pBFY46	Bacteroides fragilis YCH46	34199
NCBI	NZ_CP010109.1	pBTHD521-3	Bacillus thuringiensis serovar indiana strain HD521	72798
NCBI	NZ_CP008720.1	pEC648_6	Escherichia coli strain ST648	1568
NCBI	NC_010935.1	pCNB	Comamonas testosteroni CNB-1	92485
NCBI	NC_016150.1	pMADAR_001	Blattabacterium sp. (Mastotermes darwiniensis) str. MADAR	3134
NCBI	NZ_CP015507.1	pBO1	Bacillus oceanisediminis strain 2691	392394
NCBI	NC_003921.3	pXAC33	Xanthomonas axonopodis pv. citri str. 306	34183
NCBI	NC_016137.1	unnamed	Staphylococcus hyicus	1745
NCBI	NZ_CP008875.1	pHSR2-01	Halanaeroarchaeum sulfurireducens strain HSR2	126033
NCBI	NZ_CP011610.1	pCAV1321-135	Citrobacter freundii strain CAV1321	137049
NCBI	NC_018953.1	pIGMS32	Klebsiella pneumoniae	9428
NCBI	NC_018997.1	pHUSEC41-3	Escherichia coli	8045
NCBI	NC_017074.1	pSRC5	Selenomonas ruminantium subsp. lactilytica TAM6421	35686
NCBI	NZ_CM003741.1	unnamed	Acinetobacter baumannii strain MEX11594	5638
NCBI	NZ_CP018745.1	p_lp54_linear	Borreliella garinii strain CIP 103362	58355
NCBI	NZ_CP014803.1	pTPRO7	Thiobacimonas profunda strain JLT2016	113004
NCBI	NC_015592.1	pSINME02	Sinorhizobium meliloti AK83	71508
NCBI	NC_011875.1	Far04_lp25	Borrelia garinii Far04	26161
NCBI	NC_007095.1	pIMD50	Actinobacillus porcitonsillarum pIMD50	8878
NCBI	NZ_CM008158.1	pRspN4311b	Rhizobium sp. N4311	413616
NCBI	NZ_CP015504.1	unnamed	Klebsiella pneumoniae strain SKGH01	57035
NCBI	NZ_CP019994.1	p268-2	Enterococcus faecium isolate 2014-VREF-268	101257
NCBI	NC_022051.1	Unknown	Listeria monocytogenes strain J1926	56602
NCBI	NC_018490.1	p08	Bacillus thuringiensis HD-771	8698
NCBI	NC_004849.1	pJBL2	Lactobacillus delbrueckii subsp. lactis	8842
NCBI	NC_018639.1	pcpWC	Chlamydia psittaci WC	7662
NCBI	NC_017780.1	clone	Borrelia crocidurae str. Achema	15776
NCBI	NZ_CM001372.1	pLDTK	Fluoribacter dumoffii Tex-KL	128336
NCBI	NC_006298.1	pHS129	Haemophilus somnus 129PT	5253
NCBI	NC_003969.1	pSepCH	Staphylococcus epidermidis	2427
NCBI	NZ_CP012295.1	pL21536-1	Pediococcus damnosus strain TMW 2.1536	7789
NCBI	NC_006578.1	pBT9727	[Bacillus thuringiensis] serovar konkukian str. 97-27	78215
NCBI	NZ_CP008851.1	pAC29b	Acinetobacter baumannii strain AC29	75818
NCBI	NZ_CP014489.1	pG749_1	Escherichia coli strain G749	151873
NCBI	NC_019846.2	pRmeGR4a	Sinorhizobium meliloti GR4	178499
NCBI	NC_002518.1	pPP81	Pseudomonas putida P8	2572
NCBI	NC_020826.1	pKB290-3	Lactobacillus brevis KB290	35846
NCBI	NC_025031.1	hyperthermophilic	Bacterium enrichment culture clone 2a(2010)	4850
NCBI	NZ_CP019233.1	pYGD5	Bacillus thuringiensis strain YGd22-03	5732
NCBI	NZ_CP018727.1	pLMG911.2	Xanthomonas vesicatoria ATCC 35937 strain LMG911	47860
NCBI	NZ_CM003765.1	pXF-RC.OLS0479	Xylella fastidiosa strain COF0407	1325
NCBI	NZ_CP007517.1	3	Rubrobacter radiotolerans strain RSPS-4	51778
NCBI	NZ_CP019330.1	unnamed3	Haloterrigena daqingensis strain JX313T	55780
NCBI	NZ_CM004454.1	p2M3AC14-8	Acinetobacter baumannii strain M3AC14-8	18302
NCBI	NZ_CP014633.1	L11988-9	Lactobacillus backii strain TMW 1.1988	20700
NCBI	NZ_CP018736.1	pKp_Goe_641-2	Klebsiella pneumoniae strain Kp_Goe_121641	64499
NCBI	NC_010908.1	pCIBAO89	Bifidobacterium asteroides	2143
NCBI	NZ_CP010123.1	A	Escherichia coli strain C5	217510
NCBI	NZ_CP016593.1	pKvSKV1	Ketogulonicigenium vulgare strain SKV	271778
NCBI	NC_010631.1	pNPUN01	Nostoc punctiforme PCC 73102	359631
NCBI	NZ_CP015361.1	p6330	Bacillus thuringiensis strain MYBT18246	6422
NCBI	NZ_CP021414.1	pAfPQ33_1	Acidithiobacillus ferrivorans strain PQ33	10365
NCBI	NZ_CP009027.1	pXAC64	Xanthomonas citri subsp. citri strain 5208	65849
NCBI	NC_021515.1	Lp16A	Lactobacillus plantarum 16	7345
NCBI	NC_006857.1	pSRD191	Selenomonas ruminantium	1469
NCBI	NZ_CP014142.1	pTP143	Thermus parvatiensis strain RL	145325
NCBI	NC_001851.2	lp28-1	Borrelia burgdorferi B31	28559
NCBI	NC_021816.1	unnamed	Salmonella enterica subsp. enterica serovar Typhimurium var. 5- str. CFSAN001921	3662
NCBI	NC_010368.1	PHS3	Halobacterium salinarum R1	288395
NCBI	NC_008823.1	pNC500	Rhodococcus rhodochrous	7748
NCBI	NZ_CP016386.1	p931-3904	Salmonella enterica subsp. enterica serovar Typhimurium strain 13-931	3961
NCBI	NZ_CP016367.1	pP97_c	Phaeobacter porticola strain P97	86064
NCBI	NZ_CP003713.1	pZM1252604	Zymomonas mobilis subsp. mobilis NRRL B-12526	32864
NCBI	NC_004653.1	pS7b	Lactococcus lactis subsp. lactis bv. diacetylactis	7369
NCBI	NZ_CP021831.1	psymB	Sinorhizobium meliloti strain HM006	1651402
NCBI	NZ_CP011565.1	pM27-SA2-01	Halanaeroarchaeum sulfurireducens strain M27-SA2	126033
NCBI	NZ_CP013179.1	1	Aeromonas hydrophila strain JBN2301	6410
NCBI	NZ_AUPS01000033.1	pS1d	Staphylococcus aureus S1	2688
NCBI	NC_022883.1	pQY082	Enterococcus mundtii QU 25	83389
NCBI	NZ_CP018233.1	unnamed5	Rhizobium leguminosarum strain Vaf-108	258705
NCBI	NZ_AWFJ01000135.1	pO111_5	Escherichia coli 95JB1	7764
NCBI	NC_004252.1	pDOJH10L	Bifidobacterium longum DJO10A	10218
NCBI	NZ_CP017365.1	pL1277-2	Lactobacillus plantarum strain TMW 1.277	65222
NCBI	NC_010373.1	pM44601	Methylobacterium sp. 4-46	58780
NCBI	NC_013746.1	pHTUR03	Haloterrigena turkmenica DSM 5511	183365
NCBI	NZ_CP018837.1	unnamed1	Vibrio gazogenes strain ATCC 43942	12088
NCBI	NZ_CP018144.1	Unknown	Acinetobacter baumannii strain HRAB-85	78622
NCBI	NZ_CP012008.1	pAB04-2	Acinetobacter baumannii Ab04-mff	88821
NCBI	NC_020994.1	pMAB01	Mycobacterium abscessus subsp. bolletii INCQS 00594	57072
NCBI	NZ_CM003319.1	pMRSN3942-6	Acinetobacter baumannii MRSN 3942	6166
NCBI	NZ_CP017376.1	pL1708-2	Lactobacillus plantarum strain TMW 1.708	48273
NCBI	NZ_CM007860.1	unnamed	Campylobacter jejuni subsp. jejuni strain CJ501CC21	28163
NCBI	NZ_CP012565.1	pUCLAOXA232-4	Klebsiella pneumoniae strain UCLAOXA232KP	113661
NCBI	NZ_CP015592.1	pAR460	Bacillus cereus strain AR156	466544
NCBI	NZ_CP022430.1	p_unamed4	Pantoea ananatis strain YJ76	1879
NCBI	NC_012252.1	SV1_cp32-3	Borreliella finlandensis	30484
NCBI	NC_015560.1	pAS9A-1	Hoyosella subflava DQS3-9A1	18154
NCBI	NC_020157.1	pANACY.02	Anabaena cylindrica PCC 7122	180222
NCBI	NZ_CP017958.1	unnamed4	Lactobacillus plantarum strain C410L1	35067
NCBI	NC_000957.1	lp5	Borrelia burgdorferi B31	5304
NCBI	NZ_CP018984.1	pECAZ146_7	Escherichia coli strain Ecol_AZ146	2609
NCBI	NZ_CP014668.1	pECO-bc6	Escherichia coli strain ECONIH2	102648
NCBI	NZ_CP018077.1	unnamed1	Sulfitobacter sp. AM1-D1	187823
NCBI	NC_015670.1	pHbz1	Helicobacter bizzozeronii CIII-1	52821
NCBI	NZ_CM003764.1	pXF-PS.OLS0479	Xylella fastidiosa strain COF0407	6012
NCBI	NC_017326.1	pSmeSM11d	Sinorhizobium meliloti SM11	1655716
NCBI	NZ_CP022692.1	pAUSMDU8079-1	Klebsiella pneumoniae subsp. pneumoniae strain AUSMDU00008079	210313
NCBI	NZ_CM003751.1	pXF-PS.CVC0256	Xylella fastidiosa strain CVC0256	5910
NCBI	NZ_CP014417.1	pUSA05-1-SUR15	Staphylococcus aureus strain USA300-SUR15	2451
NCBI	NZ_CM004510.1	pKP33	Klebsiella pneumoniae strain Kp33	74199
NCBI	NZ_CP022668.1	pPR3	Rhizobium leguminosarum bv. viciae strain BIHB 1217	584321
NCBI	NZ_CP007650.1	pCTN1046	Lactobacillus salivarius strain JCM 1046	33792
NCBI	NZ_JDWA01000031.1	pBZ19	Klebsiella variicola strain BZ19	52947
NCBI	NZ_CP015785.1	cp32-4	Borrelia mayonii strain MN14-1420	30842
NCBI	NC_017389.1	pEp5	Erwinia pyrifoliae DSM 12163 complete	5032
NCBI	NC_007718.1	pAYWB-II	Aster yellows witches'-broom phytoplasma AYWB	4068
NCBI	NZ_CP010957.1	3pYBL2-3	Sphingobium sp. YBL2	326831
NCBI	NC_008438.1	pCJ01	Campylobacter jejuni	3259
NCBI	NZ_CP018315.1	pKp_Goe_579-3	Klebsiella pneumoniae strain Kp_Goe_822579	64497
NCBI	NZ_CM003326.1	p1Cn4540	Clostridium novyi A str. 4540	61915
NCBI	NZ_CP015323.1	pBEH1	Bacillus endophyticus strain Hbe603	96437
NCBI	NC_012518.1	Bol26_cp32-12	Borrelia burgdorferi Bol26	31884
NCBI	NC_015154.1	pc15-k	Klebsiella pneumoniae	96994
NCBI	NZ_CP018966.1	pEC542_4	Escherichia coli strain Ecol_542	4147
NCBI	NZ_CP016421.1	unnamed1	Chlamydia trachomatis strain SB006930	7615
NCBI	NC_012168.1	64b_lp28-1	Borrelia burgdorferi 64b	31103
NCBI	NZ_CP013028.1	unnamed1	Escherichia coli strain 2012C-4227	75724
NCBI	NC_025135.1	pBA64	Bacillus safensis strain MCCC 1A08385	6047
NCBI	NZ_JRQB01000033.1	pUMNturkey6_12	Escherichia coli strain UMNturkey6	12459
NCBI	NC_020273.1	pBA45-1	Bacillus amyloliquefaciens IT-45	8125
NCBI	NC_010157.1	new_pCD	Yersinia pestis Angola	69166
NCBI	NZ_ASXA01000016.1	pST2426	Streptococcus oralis subsp. tigurinus 2426	2528
NCBI	NZ_CP011839.1	pSg1-NDM	Klebsiella pneumoniae strain KP5	91392
NCBI	NC_013408.1	pMETVU01	Methanocaldococcus vulcanius M7	10858
NCBI	NZ_CP015867.1	pSPA1	Streptomyces parvulus strain 2297	625902
NCBI	NC_018660.1	pG-EA11	Escherichia coli O104:H4 str. 2011C-3493	1573
NCBI	NZ_CP013912.1	pSH108	Staphylococcus haemolyticus strain S167	10964
NCBI	NZ_CP004395.1	pP73B	Celeribacter indicus strain P73	137763
NCBI	NZ_CP014487.1	Unknown	Bacillus cereus strain FORC021	42196
NCBI	NZ_CP009665.1	cp32-3	Borreliella burgdorferi strain B31	30656
NCBI	NZ_CP008930.1	pPMK1-A	Klebsiella pneumoniae strain PMK1	190252
NCBI	NC_014258.1	pPag3	Pantoea vagans C9-1	537244
NCBI	NC_009622.1	pSMED03	Sinorhizobium medicae WSM419	222448
NCBI	NZ_CP013968.1	pAhD4-3	Aeromonas hydrophila strain D4	6253
NCBI	NC_011860.1	PBr_lp28-4	Borrelia garinii PBr	40857
NCBI	NZ_AP014832.1	pGM3709_11	Geminocystis sp. NIES-3709	4643
NCBI	NZ_CP010378.1	p34983-59.134kb	Enterobacter hormaechei subsp. hormaechei strain 34983	59980
NCBI	NZ_CP004861.1	pBMB293	Bacillus thuringiensis serovar kurstaki str. YBT-1520	297769
NCBI	NZ_CP022749.1	p3	Sphingobium sp. C1	174012
NCBI	NZ_CP014658.1	pSAN1-1736	Salmonella enterica subsp. enterica serovar Anatum str. USDA-ARS-USMARC-1736	162517
NCBI	NZ_CP015179.1	pBMB57	Bacillus thuringiensis serovar alesti strain BGSC 4C1	58088
NCBI	NZ_CP014419.1	pUSA08-1-SUR15	Staphylococcus aureus strain USA300-SUR15	32558
NCBI	NC_020208.1	pNB2354_1	Enterococcus faecium NRRL B-2354	217382
NCBI	NC_015062.1	pRAHAQ01	Rahnella sp. Y9602	625358
NCBI	NC_003134.1	pMT1	Yersinia pestis CO92	97586
NCBI	NZ_CP015014.1	unnamed_3	Rickettsia amblyommatis isolate An13	18609
NCBI	NZ_CP022458.1	unnamed1	Shigella sonnei strain 2015C-3566	56619
NCBI	NC_019740.1	pMIC7113.03	Microcoleus sp. PCC 7113	93794
NCBI	NC_004808.2	pSLA2-L	Streptomyces rochei	213624
NCBI	NC_001373.1	ColA	Escherichia coli strain GM31	6817
NCBI	NC_021911.1	pRetMIM1f	Rhizobium etli bv. mimosae str. Mim1	1098127
NCBI	NC_006970.2	pKNR02	Rhodococcus opacus B4	2814
NCBI	NZ_CP019638.1	pHT582-2	Nostocales cyanobacterium HT-58-2	15858
NCBI	NZ_CP012888.2	unnamed3	Mycobacterium chimaera strain AH16	14721
NCBI	NC_019696.1	pCHRO.02	Chroococcidiopsis thermalis PCC 7203	2820
NCBI	NZ_CP010003.1	unnamed6	Bacillus thuringiensis serovar kurstaki strain HD 1	70309
NCBI	NZ_AFDL01000006.1	pOIFC143-70	Acinetobacter baumannii OIFC143	70513
NCBI	NC_010259.1	pA172	Salmonella enterica subsp. enterica serovar Newport	8316
NCBI	NZ_CP013755.1	unnamed2	Lactobacillus plantarum strain DF	84333
NCBI	NC_010883.1	pIGMS5	Escherichia coli	6848
NCBI	NC_015906.1	cp32-quad	Borreliella bissettii DN127	67190
NCBI	NZ_CP013978.1	pPSCRG02-4	Piscirickettsia salmonis strain CGR02	69868
NCBI	NC_004845.1	pHPM8	Helicobacter pylori	7930
NCBI	NZ_CP020869.1	pCUN2	Campylobacter cuniculorum DSM 23162 = LMG 24588	1862
NCBI	NC_009653.1	pKPN7	Klebsiella pneumoniae subsp. pneumoniae MGH 78578	3529
NCBI	NC_020240.1	pAW63	Bacillus thuringiensis serovar kurstaki str. HD73	72804
NCBI	NZ_CP007157.1	phiCFAL8171I	Corynebacterium falsenii DSM 44353 strain BL 8171	42611
NCBI	NC_014214.1	pMESIL02	Meiothermus silvanus DSM 9946	126200
NCBI	NZ_AZSK01000037.1	pFL7	Bacillus paralicheniformis G-1	8047
NCBI	NC_018486.1	p01	Bacillus thuringiensis HD-771	173475
NCBI	NZ_CP011623.1	pCAV1344-250	Klebsiella pneumoniae strain CAV1344	253975
NCBI	NC_011254.1	pl42	Borrelia duttonii Ly	42757
NCBI	NZ_CP003997.1	pKP13d	Klebsiella pneumoniae subsp. pneumoniae Kp13	46227
NCBI	NZ_CP016919.1	pIncR_DHQP1300920	Klebsiella pneumoniae isolate 11	71843
NCBI	NC_020392.1	pIS56-63	Bacillus thuringiensis serovar thuringiensis str. IS5056	64778
NCBI	NZ_CP016905.1	unnamed1	Ralstonia solanacearum strain KACC10709	2176387
NCBI	NC_002635.1	pKJ36	Bifidobacterium longum KJ	3678
NCBI	NZ_CP015158.1	Unknown	Salmonella enterica subsp. enterica serovar Typhimurium strain NC983	95171
NCBI	NZ_CP019566.1	pSR03	Staphylococcus aureus strain SR434	2661
NCBI	NZ_CP019842.1	pASM3	Enterobacter cloacae strain R11	11917
NCBI	NZ_CP007644.1	pRetIE4803c	Rhizobium etli bv. phaseoli str. IE4803	721893
NCBI	NZ_CP019037.1	unnamed2	Massilia putida strain 6NM-7T	463714
NCBI	NC_022565.1	p1ABIBUN	Acinetobacter baumannii 107m	8857
NCBI	NC_019305.1	pP43BP4	Psychrobacter sp. DAB_AL43B	6544
NCBI	NZ_CP021126.1	pRetKim5b	Rhizobium sp. Kim5	489365
NCBI	NZ_CP004864.1	pBMB8513	Bacillus thuringiensis serovar kurstaki str. YBT-1520	8636
NCBI	NZ_CP011050.1	CSK29544_3p	Cronobacter sakazakii strain ATCC 29544	54222
NCBI	NZ_CM007789.1	p_IncFIB	Escherichia coli O157:H7 strain LEN02-9121-1	38231
NCBI	NC_001337.1	pFZ1	Methanothermobacter thermautotrophicus	11173
NCBI	NC_012269.1	94a_cp9	Borrelia burgdorferi 94a	8822
NCBI	NZ_CP011607.1	pCAV1321-4938	Citrobacter freundii strain CAV1321	5010
NCBI	NC_000914.2	pNGR234a	Sinorhizobium fredii NGR234	543826
NCBI	NC_001336.1	pFV1	Methanothermobacter thermautotrophicus	13709
NCBI	NZ_CP020842.1	pKPN1482-1	Klebsiella pneumoniae strain KPN1482	182786
NCBI	NZ_CP010195.1	D	Escherichia coli strain M8	5034
NCBI	NZ_CM003778.1	pSYAB1	Escherichia coli strain SYAU4	1575
NCBI	NZ_CP014849.1	pHD120038	Bacillus thuringiensis strain HD12	38882
NCBI	NZ_CP013333.1	unnamed2	Fusobacterium hwasookii ChDC F174	15796
NCBI	NZ_CP016519.1	pCE-R2-11-0435_6	Salmonella enterica subsp. enterica serovar Heidelberg strain CE-R2-11-0435	6743
NCBI	NZ_CP013198.1	pSCI26	Spiroplasma citri strain R8-A2	26558
NCBI	NC_014533.1	Cy782201	Cyanothece sp. PCC 7822	892111
NCBI	NZ_CP010216.1	C	Escherichia coli strain M15	6127
NCBI	NZ_CP011573.1	pKPC_CAV1320	Klebsiella aerogenes strain CAV1320	14182
NCBI	NZ_CP009868.1	pPSP-100	Pantoea sp. PSNIH2	168249
NCBI	NC_010923.1	pNL9	Neisseria lactamica	8468
NCBI	NZ_CP013800.1	p4PS9	Piscirickettsia salmonis strain AY6532B	20660
NCBI	NZ_CP020021.1	unnamed1	Staphylococcus aureus subsp. aureus strain ATCC 6538	28013
NCBI	NC_010896.1	pAnkS	Salmonella typhimurium	8391
NCBI	NZ_CP015165.1	unnamed1	Acetobacter pasteurianus subsp. ascendens strain LMG 1590	50087
NCBI	NZ_CP014418.1	pUSA07-1-SUR15	Staphylococcus aureus strain USA300-SUR15	3619
NCBI	NC_016750.1	pSMA198	Streptococcus macedonicus ACA-DC 198	12911
NCBI	NZ_CP021832.1	accessoryA	Sinorhizobium meliloti strain HM006	223336
NCBI	NC_015178.1	pACMV1	Acidiphilium multivorum AIU301	275454
NCBI	NC_016858.1	TY474p1	Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74	95184
NCBI	NC_013748.1	pHTUR05	Haloterrigena turkmenica DSM 5511	72079
NCBI	NC_020180.1	pEA1509_A	Enterobacter aerogenes EA1509E	164521
NCBI	NC_022348.1	pN29710-2	Campylobacter coli CVM N29710	3761
NCBI	NZ_JQAK01000011.1	pCPS02	Candidatus Paracaedibacter symbiosus strain PRA9	18062
NCBI	NC_025024.1	pBGA40	Burkholderia glumae strain BGR1	3726
NCBI	NC_018502.1	p05	Bacillus thuringiensis HD-771	45910
NCBI	NZ_CP017937.1	pKPC_UVA01	Klebsiella pneumoniae strain CAV1016	44246
NCBI	NZ_CP012944.1	Unknown	Ralstonia solanacearum strain IBSBF1503	2099358
NCBI	NZ_CP017136.1	lp26	Borrelia miyamotoi strain CT13-2396	19301
NCBI	NC_014634.1	pILYOP02	Ilyobacter polytropus DSM 2926	126002
NCBI	NC_018141.1	pLELO	Legionella pneumophila subsp. pneumophila str. Lorraine	152583
NCBI	NZ_AOSX01000021.1	pCLQ	Clostridium botulinum Af84	249642
NCBI	NZ_CP004867.1	pBMB7635	Bacillus thuringiensis serovar kurstaki str. YBT-1520	7746
NCBI	NZ_CP023348.1	unnamed2	Escherichia coli strain ETEC-2265	90026
NCBI	NZ_CP014986.1	unnamed1	Lactobacillus paracasei strain IIA	45678
NCBI	NC_011736.1	ZS7_cp32-4	Borrelia burgdorferi ZS7	31408
NCBI	NZ_CP009566.1	pCVM22462	Salmonella enterica subsp. enterica serovar Newport str. CVM 22462	96080
NCBI	NZ_CP011435.1	pYU39_2.7	Salmonella enterica subsp. enterica strain YU39	2717
NCBI	NC_005327.1	pC15-1a	Escherichia coli	93674
NCBI	NC_013940.1	megaplasmid	Deferribacter desulfuricans SSM1	312953
NCBI	NC_001764.1	pTA1040	Bacillus subtilis	7950
NCBI	NZ_CP011457.1	Unknown	Anabaena sp. WA102	77693
NCBI	NZ_CP014498.1	pZH193	Escherichia coli strain ZH193	212766
NCBI	NZ_CP014523.1	pZH063_1	Escherichia coli strain ZH063	115856
NCBI	NC_014534.1	Cy782202	Cyanothece sp. PCC 7822	480617
NCBI	NC_021233.2	LBPp1	Lactobacillus plantarum subsp. plantarum P-8	46068
NCBI	NZ_CP009659.1	lp36	Borreliella burgdorferi strain B31	37376
NCBI	NZ_AP014580.1	p2	Burkholderia sp. RPE67	502829
NCBI	NC_012520.1	pROB01	Rhodococcus opacus B4	566168
